date,year,month,quarter,market,channel,category,product,units_sold,revenue_usd,cogs_usd,gross_profit,gross_margin,segment,is_repeat_client,nps_score
2024-03-29,2024,3,Q1,Hong Kong,Boutique,High Jewellery,Juste un Clou Necklace,1,255833.48,78424.89,177408.59,69.3,VIP (>$50K),True,8
2023-10-05,2023,10,Q4,Thailand,Private Client,Fragrances,La Panthère,2,484.7,137.87,346.83,71.6,Entry (<$1K),False,10
2023-02-08,2023,2,Q1,Hong Kong,Travel Retail,High Jewellery,Juste un Clou Necklace,1,935620.35,202691.77,661986.45,70.8,Aspirational ($1K-$10K),True,9
2023-10-31,2023,10,Q4,Thailand,Wholesale,Fragrances,Baiser Volé,2,361.64,125.76,235.89,65.2,Premium ($10K-$50K),True,8
2024-04-11,2024,4,Q2,China,Wholesale,Fine Jewellery,Clash de Cartier,3,70426.87,21989.03,48437.85,68.8,Entry (<$1K),False,7
2024-11-12,2024,11,Q4,India,E-Commerce,High Jewellery,Juste un Clou Necklace,1,417659.96,130944.26,286715.7,68.6,Premium ($10K-$50K),True,7
2023-02-12,2023,2,Q1,South Korea,Boutique,High Jewellery,Panthère Bracelet,1,1299447.64,343486.3,835741.14,64.3,Entry (<$1K),False,10
2023-02-03,2023,2,Q1,Thailand,Travel Retail,Accessories,Panthere Sunglasses,1,1057.62,280.34,679.16,64.2,Premium ($10K-$50K),False,10
2024-08-09,2024,8,Q3,China,Private Client,Watches,Santos de Cartier,3,152589.54,50829.59,101759.95,66.7,Aspirational ($1K-$10K),True,9
2024-10-30,2024,10,Q4,Thailand,Private Client,Accessories,Panthere Sunglasses,2,4924.11,1748.94,3175.18,64.5,Aspirational ($1K-$10K),True,10
2024-09-19,2024,9,Q3,Australia,Wholesale,Accessories,C de Cartier Bag,2,4766.99,1487.16,3279.83,68.8,VIP (>$50K),False,7
2024-02-24,2024,2,Q1,South Korea,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,569923.06,135758.81,386648.67,67.8,Premium ($10K-$50K),True,9
2022-02-10,2022,2,Q1,Thailand,Travel Retail,High Jewellery,Juste un Clou Necklace,1,345087.41,94365.85,217693.51,63.1,Entry (<$1K),True,10
2023-03-28,2023,3,Q1,India,E-Commerce,Fine Jewellery,Trinity Ring,3,57741.34,20089.03,37652.31,65.2,Entry (<$1K),True,9
2022-09-19,2022,9,Q3,China,Travel Retail,Fragrances,La Panthère,2,339.59,101.26,238.33,70.2,Aspirational ($1K-$10K),False,7
2024-07-20,2024,7,Q3,Hong Kong,Wholesale,Accessories,Cartier Wallet,2,6302.93,2603.48,4011.87,63.7,Entry (<$1K),False,10
2022-04-17,2022,4,Q2,Hong Kong,E-Commerce,High Jewellery,Trinity Collection,1,881486.59,264389.62,617096.97,70.0,VIP (>$50K),True,7
2022-09-16,2022,9,Q3,India,Boutique,Fragrances,Baiser Volé,2,476.25,141.34,334.91,70.3,VIP (>$50K),True,7
2023-09-30,2023,9,Q3,Japan,Private Client,High Jewellery,Juste un Clou Necklace,1,602978.56,191464.2,411514.36,68.2,Premium ($10K-$50K),False,7
2022-07-28,2022,7,Q3,Singapore,Private Client,High Jewellery,Trinity Collection,1,331167.7,119317.12,226168.63,68.3,Aspirational ($1K-$10K),False,9
2024-09-30,2024,9,Q3,Japan,Travel Retail,Fine Jewellery,Trinity Ring,3,102649.26,34097.49,68551.78,66.8,Aspirational ($1K-$10K),True,10
2024-09-17,2024,9,Q3,India,Travel Retail,Fragrances,Les Heures de Parfum,1,195.02,60.05,134.97,69.2,Entry (<$1K),False,9
2024-02-16,2024,2,Q1,Hong Kong,Boutique,Accessories,Cartier Wallet,2,2829.67,658.23,1941.06,68.6,Aspirational ($1K-$10K),True,10
2023-01-27,2023,1,Q1,Japan,E-Commerce,Accessories,Love Bracelet Classic,2,5738.7,1464.81,3761.2,65.5,Entry (<$1K),False,6
2022-07-10,2022,7,Q3,Singapore,E-Commerce,Accessories,Panthere Sunglasses,2,2783.49,1060.72,1850.06,66.5,Aspirational ($1K-$10K),False,10
2023-11-09,2023,11,Q4,Hong Kong,Travel Retail,Fine Jewellery,Cactus de Cartier,1,13541.65,4218.97,9322.69,68.8,Premium ($10K-$50K),False,9
2023-07-21,2023,7,Q3,Singapore,Boutique,Watches,Ballon Bleu,1,21865.95,8716.61,14195.33,64.9,Premium ($10K-$50K),False,6
2023-08-22,2023,8,Q3,South Korea,Travel Retail,High Jewellery,Trinity Collection,1,563804.67,182699.14,381105.52,67.6,Premium ($10K-$50K),True,8
2024-09-05,2024,9,Q3,Japan,Boutique,Accessories,Love Bracelet Classic,1,649.6,191.74,457.86,70.5,Aspirational ($1K-$10K),False,7
2022-08-31,2022,8,Q3,Thailand,Private Client,Fragrances,Baiser Volé,2,713.53,221.01,492.52,69.0,Entry (<$1K),False,10
2022-05-04,2022,5,Q2,Japan,E-Commerce,Watches,Ballon Bleu,1,57151.78,19157.23,37994.55,66.5,Premium ($10K-$50K),False,9
2024-08-20,2024,8,Q3,Singapore,Boutique,Watches,Ballon Bleu,2,151987.9,43638.46,108349.44,71.3,Premium ($10K-$50K),True,10
2023-02-10,2023,2,Q1,Thailand,Boutique,Fragrances,Baiser Volé,1,481.6,102.44,343.31,71.3,Premium ($10K-$50K),True,10
2023-08-15,2023,8,Q3,India,Boutique,Accessories,Cartier Wallet,3,7459.38,2491.42,4967.96,66.6,Entry (<$1K),False,6
2024-06-03,2024,6,Q2,Hong Kong,Private Client,Fine Jewellery,Cartier d'Amour,3,18605.26,7161.17,12303.43,66.1,VIP (>$50K),True,8
2022-03-24,2022,3,Q1,South Korea,Travel Retail,Fragrances,Carat,3,1395.76,451.65,944.1,67.6,Entry (<$1K),True,9
2023-12-14,2023,12,Q4,Thailand,Wholesale,Fine Jewellery,Cartier d'Amour,3,131367.59,33821.7,88075.81,67.0,Entry (<$1K),True,10
2022-03-17,2022,3,Q1,India,Boutique,Fine Jewellery,Cactus de Cartier,2,30083.0,11025.15,19057.85,63.4,VIP (>$50K),True,10
2024-08-04,2024,8,Q3,Thailand,Boutique,Watches,Rotonde,3,98511.65,31937.88,66573.77,67.6,VIP (>$50K),False,10
2022-09-26,2022,9,Q3,Singapore,Travel Retail,Accessories,C de Cartier Bag,1,536.54,188.32,348.23,64.9,Aspirational ($1K-$10K),True,10
2024-04-15,2024,4,Q2,Japan,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,902886.39,266710.03,636176.36,70.5,Aspirational ($1K-$10K),True,8
2024-04-30,2024,4,Q2,India,Travel Retail,Watches,Panthère Watch,3,125429.7,41495.17,83934.54,66.9,Premium ($10K-$50K),True,8
2024-04-29,2024,4,Q2,Hong Kong,Private Client,Fine Jewellery,Cartier d'Amour,3,47328.91,15996.81,31332.1,66.2,Entry (<$1K),True,9
2024-09-18,2024,9,Q3,Hong Kong,Wholesale,Fragrances,Carat,1,331.57,125.36,206.21,62.2,Premium ($10K-$50K),True,7
2024-04-21,2024,4,Q2,China,Wholesale,Accessories,Love Bracelet Classic,3,5615.48,2123.11,3492.37,62.2,Entry (<$1K),True,7
2024-10-25,2024,10,Q4,Hong Kong,Boutique,Accessories,C de Cartier Bag,3,7268.77,2140.04,5128.73,70.6,Premium ($10K-$50K),False,8
2023-11-25,2023,11,Q4,Thailand,Boutique,Fine Jewellery,Trinity Ring,2,81511.3,29934.07,51577.23,63.3,VIP (>$50K),True,7
2023-08-12,2023,8,Q3,Australia,Boutique,Accessories,C de Cartier Bag,1,2821.91,915.34,1906.57,67.6,Aspirational ($1K-$10K),True,6
2023-10-27,2023,10,Q4,China,Wholesale,Fine Jewellery,Cactus de Cartier,2,43314.28,14579.27,28735.0,66.3,Premium ($10K-$50K),False,6
2024-02-23,2024,2,Q1,Australia,Travel Retail,Fragrances,Baiser Volé,2,556.52,125.95,386.49,69.4,VIP (>$50K),True,9
2023-08-13,2023,8,Q3,South Korea,Boutique,Accessories,Cartier Wallet,2,7379.16,2575.56,4803.6,65.1,Entry (<$1K),True,7
2024-02-27,2024,2,Q1,India,Boutique,Watches,Panthère Watch,3,183357.86,42039.62,126604.37,69.0,Entry (<$1K),False,10
2022-04-11,2022,4,Q2,India,Wholesale,Watches,Rotonde,1,56670.67,19386.42,37284.25,65.8,Premium ($10K-$50K),True,6
2023-09-25,2023,9,Q3,India,Boutique,Fragrances,Les Heures de Parfum,2,608.8,190.36,418.45,68.7,Entry (<$1K),False,7
2024-01-20,2024,1,Q1,Singapore,E-Commerce,Fine Jewellery,Trinity Ring,2,131993.39,35239.62,84419.9,64.0,Entry (<$1K),True,7
2023-04-08,2023,4,Q2,Thailand,Private Client,Fine Jewellery,Cartier d'Amour,3,87358.81,25540.12,61818.68,70.8,Aspirational ($1K-$10K),True,8
2024-02-20,2024,2,Q1,Hong Kong,Boutique,Watches,Panthère Watch,3,35156.33,8145.87,24159.41,68.7,Premium ($10K-$50K),True,9
2023-09-11,2023,9,Q3,Thailand,Boutique,Watches,Santos de Cartier,2,141470.62,41254.54,100216.08,70.8,Premium ($10K-$50K),True,7
2024-03-06,2024,3,Q1,India,Wholesale,Fragrances,Carat,2,615.06,212.5,402.56,65.5,Entry (<$1K),True,8
2022-03-09,2022,3,Q1,Hong Kong,E-Commerce,Accessories,Love Bracelet Classic,1,4428.04,1674.21,2753.83,62.2,Aspirational ($1K-$10K),True,8
2022-05-05,2022,5,Q2,Thailand,Wholesale,Watches,Santos de Cartier,1,80214.34,27776.37,52437.97,65.4,VIP (>$50K),False,8
2023-05-14,2023,5,Q2,South Korea,Private Client,Watches,Santos de Cartier,3,242685.89,73192.88,169493.01,69.8,Premium ($10K-$50K),False,7
2022-01-06,2022,1,Q1,Singapore,E-Commerce,Watches,Rotonde,3,108721.42,29527.51,68859.28,63.3,Premium ($10K-$50K),False,7
2023-10-26,2023,10,Q4,China,E-Commerce,Fine Jewellery,Cartier d'Amour,1,7617.53,2700.92,4916.61,64.5,Entry (<$1K),False,8
2024-11-17,2024,11,Q4,Japan,Travel Retail,Fragrances,Baiser Volé,3,1328.07,441.11,886.96,66.8,Entry (<$1K),True,6
2022-05-05,2022,5,Q2,India,Travel Retail,Accessories,C de Cartier Bag,1,1830.94,677.31,1153.63,63.0,Aspirational ($1K-$10K),True,6
2022-09-16,2022,9,Q3,Singapore,Private Client,Fragrances,Les Heures de Parfum,2,621.0,202.06,418.94,67.5,Entry (<$1K),False,6
2023-03-17,2023,3,Q1,Thailand,Travel Retail,Watches,Panthère Watch,2,57829.87,20411.7,37418.17,64.7,Aspirational ($1K-$10K),False,8
2024-02-06,2024,2,Q1,South Korea,Travel Retail,High Jewellery,Trinity Collection,1,974961.81,209188.13,692557.84,71.0,Aspirational ($1K-$10K),True,10
2022-05-03,2022,5,Q2,Hong Kong,Boutique,Accessories,Cartier Wallet,2,8369.84,3070.13,5299.7,63.3,VIP (>$50K),True,10
2023-10-02,2023,10,Q4,Hong Kong,Boutique,Fragrances,Baiser Volé,1,213.44,67.24,146.2,68.5,Aspirational ($1K-$10K),False,8
2023-04-09,2023,4,Q2,Thailand,Private Client,Fragrances,La Panthère,3,971.76,298.08,673.68,69.3,Premium ($10K-$50K),False,8
2023-11-27,2023,11,Q4,Hong Kong,Boutique,Watches,Tank Must,1,59653.3,21123.05,38530.25,64.6,VIP (>$50K),False,10
2023-03-17,2023,3,Q1,Thailand,Travel Retail,Accessories,Cartier Wallet,2,1485.99,531.51,954.47,64.2,VIP (>$50K),True,7
2022-11-19,2022,11,Q4,China,Boutique,Fine Jewellery,Trinity Ring,2,69204.73,22243.67,46961.06,67.9,Premium ($10K-$50K),True,6
2023-12-08,2023,12,Q4,Thailand,Boutique,Fine Jewellery,Trinity Ring,1,27277.16,6809.2,18561.39,68.0,VIP (>$50K),False,8
2023-03-09,2023,3,Q1,South Korea,Wholesale,Fine Jewellery,Cactus de Cartier,2,14450.83,4300.13,10150.7,70.2,Entry (<$1K),True,7
2024-10-21,2024,10,Q4,Hong Kong,Boutique,Accessories,C de Cartier Bag,1,2083.08,762.85,1320.23,63.4,Entry (<$1K),True,9
2023-08-16,2023,8,Q3,Japan,Travel Retail,High Jewellery,Juste un Clou Necklace,1,219300.03,71493.93,147806.09,67.4,Aspirational ($1K-$10K),False,6
2023-05-14,2023,5,Q2,Thailand,Private Client,Accessories,C de Cartier Bag,2,2804.09,847.28,1956.81,69.8,Premium ($10K-$50K),False,6
2024-12-22,2024,12,Q4,Australia,Wholesale,Fine Jewellery,Clash de Cartier,1,13257.3,3079.73,9315.24,70.3,Premium ($10K-$50K),True,6
2022-12-29,2022,12,Q4,India,Travel Retail,Fragrances,Carat,3,1347.27,361.58,884.44,65.6,Aspirational ($1K-$10K),True,8
2022-11-06,2022,11,Q4,India,Boutique,Accessories,Love Bracelet Classic,3,6613.73,1889.0,4724.74,71.4,VIP (>$50K),False,9
2022-03-19,2022,3,Q1,China,Wholesale,Fine Jewellery,Cartier d'Amour,1,37730.2,12884.9,24845.31,65.8,Entry (<$1K),True,10
2022-03-26,2022,3,Q1,India,Private Client,Watches,Ballon Bleu,1,46833.98,15223.49,31610.48,67.5,Aspirational ($1K-$10K),True,6
2024-10-30,2024,10,Q4,South Korea,Boutique,Watches,Panthère Watch,3,284797.57,84264.37,200533.2,70.4,Aspirational ($1K-$10K),True,9
2024-04-17,2024,4,Q2,Hong Kong,Private Client,High Jewellery,Juste un Clou Necklace,1,107989.61,37562.88,70426.73,65.2,Aspirational ($1K-$10K),False,10
2022-11-04,2022,11,Q4,Hong Kong,Boutique,Fragrances,Baiser Volé,3,1572.09,549.99,1022.1,65.0,Entry (<$1K),False,6
2023-09-27,2023,9,Q3,Thailand,Wholesale,Watches,Rotonde,3,34540.89,10921.24,23619.66,68.4,Aspirational ($1K-$10K),False,7
2023-12-01,2023,12,Q4,India,E-Commerce,Watches,Tank Must,1,18181.49,4698.34,12167.62,66.9,VIP (>$50K),True,10
2022-09-26,2022,9,Q3,Thailand,E-Commerce,Watches,Tank Must,1,69984.7,24642.89,45341.8,64.8,VIP (>$50K),False,7
2024-06-28,2024,6,Q2,Singapore,Travel Retail,Watches,Rotonde,2,54842.7,23083.63,34529.1,63.0,Premium ($10K-$50K),False,10
2024-06-21,2024,6,Q2,India,Wholesale,Accessories,Love Bracelet Classic,3,8483.98,2832.88,5991.05,70.6,Aspirational ($1K-$10K),False,9
2024-01-31,2024,1,Q1,Japan,Private Client,High Jewellery,Juste un Clou Necklace,1,150678.94,36266.96,101718.54,67.5,Premium ($10K-$50K),True,6
2023-03-31,2023,3,Q1,India,Wholesale,High Jewellery,LOVE Bracelet HJ,1,77364.43,23486.12,53878.3,69.6,VIP (>$50K),False,6
2023-10-15,2023,10,Q4,Japan,Wholesale,Watches,Tank Must,2,18021.04,6300.29,11720.76,65.0,Premium ($10K-$50K),True,9
2024-07-07,2024,7,Q3,China,Boutique,High Jewellery,Juste un Clou Necklace,1,202616.86,86117.37,126833.58,62.6,Entry (<$1K),False,8
2023-05-02,2023,5,Q2,Singapore,Boutique,High Jewellery,Panthère Bracelet,1,483766.86,157568.36,326198.5,67.4,VIP (>$50K),True,9
2022-02-03,2022,2,Q1,Australia,E-Commerce,Fine Jewellery,Trinity Ring,3,4856.9,1157.23,3294.64,67.8,VIP (>$50K),True,8
2022-05-19,2022,5,Q2,China,Travel Retail,Accessories,C de Cartier Bag,2,6035.07,2140.83,3894.24,64.5,Aspirational ($1K-$10K),True,8
2023-05-09,2023,5,Q2,Japan,Private Client,Fine Jewellery,Clash de Cartier,3,10292.18,3062.02,7230.17,70.2,Entry (<$1K),True,9
2023-01-09,2023,1,Q1,South Korea,Boutique,Accessories,C de Cartier Bag,1,1715.85,468.46,1083.42,63.1,Aspirational ($1K-$10K),True,10
2024-03-26,2024,3,Q1,India,Wholesale,High Jewellery,Panthère Bracelet,1,263338.38,74993.61,188344.77,71.5,Aspirational ($1K-$10K),False,8
2024-06-13,2024,6,Q2,Thailand,Travel Retail,Accessories,Cartier Wallet,2,5528.14,1989.72,3777.18,68.3,Aspirational ($1K-$10K),True,9
2022-06-11,2022,6,Q2,Thailand,Private Client,Watches,Rotonde,2,41230.53,16215.4,26960.98,65.4,Aspirational ($1K-$10K),False,9
2022-12-08,2022,12,Q4,India,Wholesale,Accessories,C de Cartier Bag,3,9800.38,2908.07,6078.05,62.0,Aspirational ($1K-$10K),True,6
2022-06-03,2022,6,Q2,Thailand,Wholesale,Fragrances,Baiser Volé,3,1028.13,406.36,670.54,65.2,Entry (<$1K),False,6
2023-04-29,2023,4,Q2,Hong Kong,Wholesale,Accessories,C de Cartier Bag,2,5741.33,1821.16,3920.17,68.3,VIP (>$50K),True,10
2024-01-22,2024,1,Q1,Thailand,Wholesale,Fine Jewellery,Clash de Cartier,1,47627.46,11638.9,31914.95,67.0,Entry (<$1K),True,6
2023-06-21,2023,6,Q2,Singapore,Travel Retail,Watches,Rotonde,2,62795.36,21408.78,43955.63,70.0,Premium ($10K-$50K),True,9
2022-12-20,2022,12,Q4,India,Boutique,Fine Jewellery,Cactus de Cartier,2,73588.13,21221.73,46424.31,63.1,Premium ($10K-$50K),True,7
2024-01-11,2024,1,Q1,Australia,Boutique,Watches,Tank Must,2,62243.09,15464.05,41366.62,66.5,Aspirational ($1K-$10K),True,10
2022-09-23,2022,9,Q3,Japan,Boutique,Fine Jewellery,Trinity Ring,3,153398.2,49253.02,104145.18,67.9,Entry (<$1K),True,6
2022-09-14,2022,9,Q3,Hong Kong,Boutique,Accessories,Love Bracelet Classic,3,8781.58,3020.68,5760.9,65.6,Premium ($10K-$50K),True,7
2024-06-05,2024,6,Q2,China,Boutique,Fragrances,Baiser Volé,3,640.19,220.1,446.5,69.7,Aspirational ($1K-$10K),True,8
2023-02-07,2023,2,Q1,Singapore,E-Commerce,Fine Jewellery,Cartier d'Amour,3,102111.26,22344.93,71945.61,70.5,Aspirational ($1K-$10K),True,10
2022-03-26,2022,3,Q1,China,Boutique,High Jewellery,Juste un Clou Necklace,1,696469.65,224025.51,472444.14,67.8,VIP (>$50K),True,10
2023-08-17,2023,8,Q3,Singapore,Travel Retail,Watches,Panthère Watch,1,30123.46,8910.76,21212.7,70.4,Entry (<$1K),True,7
2023-11-28,2023,11,Q4,South Korea,Wholesale,Fine Jewellery,Cactus de Cartier,2,89665.51,29723.94,59941.57,66.9,VIP (>$50K),False,9
2022-09-08,2022,9,Q3,Singapore,Travel Retail,Watches,Tank Must,2,27551.54,10095.33,17456.2,63.4,Entry (<$1K),False,7
2023-11-02,2023,11,Q4,Hong Kong,E-Commerce,Watches,Panthère Watch,2,204962.81,67583.83,137378.98,67.0,VIP (>$50K),True,10
2024-07-25,2024,7,Q3,Australia,E-Commerce,Fragrances,Les Heures de Parfum,3,337.11,141.06,212.98,63.2,Entry (<$1K),False,6
2022-08-09,2022,8,Q3,Thailand,E-Commerce,Fine Jewellery,Cactus de Cartier,2,61716.98,17596.48,44120.5,71.5,Premium ($10K-$50K),False,8
2022-05-31,2022,5,Q2,Thailand,Private Client,Accessories,Cartier Wallet,3,8382.06,2446.56,5935.49,70.8,VIP (>$50K),False,8
2024-01-19,2024,1,Q1,South Korea,E-Commerce,Fragrances,Carat,1,404.14,105.18,262.14,64.9,Entry (<$1K),True,7
2024-11-21,2024,11,Q4,South Korea,Wholesale,Fragrances,Les Heures de Parfum,3,670.38,244.19,426.19,63.6,Aspirational ($1K-$10K),True,10
2024-12-26,2024,12,Q4,India,Private Client,Fine Jewellery,Trinity Ring,3,120850.45,27470.86,85687.74,70.9,Entry (<$1K),True,6
2024-08-29,2024,8,Q3,Singapore,Private Client,Fragrances,Baiser Volé,1,457.03,151.93,305.1,66.8,Entry (<$1K),False,7
2022-03-06,2022,3,Q1,Japan,E-Commerce,High Jewellery,LOVE Bracelet HJ,1,294443.38,102775.47,191667.91,65.1,Entry (<$1K),True,10
2024-08-23,2024,8,Q3,China,E-Commerce,Fragrances,Baiser Volé,2,828.93,275.66,553.27,66.7,Aspirational ($1K-$10K),True,9
2024-12-27,2024,12,Q4,Hong Kong,Private Client,Fine Jewellery,Cactus de Cartier,1,40381.69,9713.71,27948.14,69.2,Aspirational ($1K-$10K),False,8
2023-08-15,2023,8,Q3,Australia,Travel Retail,Fine Jewellery,Trinity Ring,3,53486.53,16438.86,37047.68,69.3,VIP (>$50K),True,10
2024-02-17,2024,2,Q1,Thailand,Wholesale,Watches,Ballon Bleu,1,10865.18,2532.28,7446.6,68.5,Entry (<$1K),True,9
2023-03-15,2023,3,Q1,Australia,Private Client,Fine Jewellery,Cactus de Cartier,3,21793.61,6623.69,15169.92,69.6,VIP (>$50K),True,10
2023-04-08,2023,4,Q2,Australia,Boutique,High Jewellery,LOVE Bracelet HJ,1,302650.8,105358.55,197292.25,65.2,Premium ($10K-$50K),False,10
2022-11-20,2022,11,Q4,Thailand,Travel Retail,Accessories,Panthere Sunglasses,2,4768.66,1643.23,3125.43,65.5,VIP (>$50K),True,7
2022-03-18,2022,3,Q1,South Korea,Travel Retail,Watches,Santos de Cartier,2,185195.69,55305.2,129890.49,70.1,Aspirational ($1K-$10K),True,6
2023-09-04,2023,9,Q3,Japan,Wholesale,Fine Jewellery,Trinity Ring,2,97168.12,35847.85,61320.27,63.1,Premium ($10K-$50K),True,9
2023-07-13,2023,7,Q3,Australia,Boutique,Fine Jewellery,Clash de Cartier,3,89013.6,30205.95,62432.37,70.1,Aspirational ($1K-$10K),True,10
2023-01-31,2023,1,Q1,South Korea,Private Client,Accessories,Love Bracelet Classic,3,8062.44,1729.17,5728.05,71.0,Premium ($10K-$50K),True,7
2022-01-14,2022,1,Q1,Singapore,Travel Retail,Watches,Panthère Watch,2,230283.08,57698.04,152390.73,66.2,VIP (>$50K),False,8
2023-04-29,2023,4,Q2,China,Boutique,Accessories,Cartier Wallet,3,3074.66,1097.6,1977.06,64.3,VIP (>$50K),True,8
2024-01-23,2024,1,Q1,Australia,E-Commerce,Watches,Panthère Watch,3,70775.9,16638.23,48314.28,68.3,Entry (<$1K),True,7
2023-05-22,2023,5,Q2,Japan,Private Client,Accessories,Cartier Wallet,1,653.62,237.18,416.44,63.7,Premium ($10K-$50K),True,7
2022-12-03,2022,12,Q4,Hong Kong,Private Client,Accessories,C de Cartier Bag,2,8191.26,1850.03,5823.21,71.1,Entry (<$1K),True,9
2022-09-28,2022,9,Q3,Thailand,Travel Retail,Fragrances,La Panthère,2,615.45,216.84,398.61,64.8,Entry (<$1K),False,6
2023-03-23,2023,3,Q1,Japan,Boutique,Accessories,Cartier Wallet,1,2787.98,1041.2,1746.79,62.7,VIP (>$50K),True,9
2022-03-06,2022,3,Q1,Singapore,Travel Retail,Watches,Tank Must,3,261050.39,98253.69,162796.7,62.4,Aspirational ($1K-$10K),True,9
2024-07-07,2024,7,Q3,Thailand,Travel Retail,High Jewellery,Panthère Bracelet,1,445466.1,150773.75,312785.2,70.2,Entry (<$1K),True,7
