date,month_year,category,product,market,forecast_demand,actual_demand,stock_available,stock_cover_weeks,reorder_point,lead_time_days,stockout_risk,overstock_risk,unit_cost_usd
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,South Korea,4,4,4,4.0,1,118,Low,Low,42094.53
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,South Korea,5,4,5,5.0,1,53,Low,Low,67877.29
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,South Korea,2,2,2,2.0,0,109,Low,Low,73834.84
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,Australia,6,5,6,4.8,2,45,Low,Low,111504.97
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,Australia,5,5,5,4.0,1,47,Low,Low,51060.8
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,Australia,3,2,3,3.0,0,79,Low,Low,143791.2
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,Australia,5,4,5,5.0,1,112,Low,Low,14438.51
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,Australia,9,9,7,3.1,2,53,Medium,Low,49825.64
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,Australia,5,4,4,4.0,1,92,Low,Low,15700.68
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,Australia,10,12,9,3.0,2,74,Low,Low,35343.19
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,Australia,12,13,9,2.8,2,48,Medium,Low,12147.8
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,Australia,12,12,13,4.3,2,75,Low,Low,96889.51
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,Australia,12,12,9,3.0,3,88,Medium,Low,128786.98
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,Australia,12,12,15,5.0,3,63,Low,Medium,83033.12
2024-05-26,May 2024,High Jewellery,Trinity Collection,Australia,15,14,11,3.1,4,80,Medium,Low,8867.64
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,Australia,5,4,5,5.0,1,81,Low,Low,22278.25
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,Australia,7,8,7,3.5,2,72,Low,Low,139315.69
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,Australia,14,13,12,3.7,4,98,Low,Low,2517.95
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,Australia,12,13,13,4.0,3,79,Low,Low,13921.13
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,Australia,10,8,10,5.0,3,119,Low,Low,57575.85
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,Australia,13,11,13,4.7,3,120,Low,Low,64867.89
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,Singapore,12,10,13,5.2,4,19,Low,Low,50794.63
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,Singapore,1,0,1,1.0,0,35,Low,Low,63621.18
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,Singapore,15,12,18,6.0,4,111,Low,Low,52580.66
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,Singapore,5,5,4,3.2,1,100,Low,Low,99300.72
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,Singapore,14,12,10,3.3,4,62,Medium,Low,123859.35
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,Singapore,13,11,11,4.0,3,15,Low,Low,105547.56
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,Singapore,3,3,2,2.0,0,25,Medium,Low,118982.16
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,Singapore,15,14,14,4.0,3,20,Low,Low,146059.0
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,Singapore,19,18,14,3.1,4,30,Medium,Low,81692.73
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,Singapore,12,10,10,4.0,3,60,Low,Low,127864.1
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,Singapore,11,13,10,3.1,3,85,Low,Low,85436.99
2024-05-26,May 2024,High Jewellery,Trinity Collection,Singapore,4,4,3,3.0,1,90,Medium,Low,41711.25
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,Singapore,7,6,5,3.3,2,113,Medium,Low,121827.19
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,Singapore,10,8,8,4.0,3,76,Low,Low,62064.42
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,Singapore,7,5,5,4.0,2,35,Medium,Low,20451.61
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,Singapore,3,2,2,2.0,0,113,Medium,Low,102522.07
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,Singapore,6,6,5,3.3,1,115,Low,Low,51365.67
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,Singapore,12,12,12,4.0,3,94,Low,Low,35813.42
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,Hong Kong,6,5,5,4.0,2,50,Low,Low,33446.84
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,Hong Kong,9,7,7,4.0,3,22,Medium,Low,74292.79
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,Hong Kong,12,14,12,3.4,3,82,Low,Low,108977.96
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,Hong Kong,12,10,11,4.4,3,113,Low,Low,49152.2
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,Hong Kong,3,2,2,2.0,0,16,Medium,Low,25606.73
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,Hong Kong,3,3,2,2.0,0,26,Medium,Low,129234.53
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,Hong Kong,10,8,10,5.0,2,47,Low,Low,16160.16
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,Hong Kong,5,4,6,6.0,1,30,Low,Low,18398.01
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,Hong Kong,8,7,6,3.4,1,55,Medium,Low,20008.48
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,Hong Kong,11,11,11,4.0,3,18,Low,Low,115218.74
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,Hong Kong,3,2,3,3.0,0,52,Low,Low,29151.14
2024-05-26,May 2024,High Jewellery,Trinity Collection,Hong Kong,4,3,4,4.0,1,67,Low,Low,92208.17
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,Hong Kong,1,0,1,1.0,0,57,Low,Low,67498.1
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,Hong Kong,9,10,7,2.8,3,51,Medium,Low,52099.07
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,Hong Kong,4,4,3,3.0,1,62,Medium,Low,2479.64
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,Hong Kong,4,3,4,4.0,1,43,Low,Low,3659.64
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,Hong Kong,11,11,14,5.1,3,90,Low,Medium,109052.44
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,Hong Kong,2,2,2,2.0,0,86,Low,Low,86357.8
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,Thailand,9,11,12,4.4,3,29,Low,Medium,133207.05
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,Thailand,10,9,8,3.6,3,44,Low,Low,144537.9
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,Thailand,3,2,2,2.0,0,57,Medium,Low,18292.17
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,Thailand,15,18,19,4.2,4,40,Low,Medium,50985.6
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,Thailand,5,5,6,4.8,1,91,Low,Low,61172.14
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,Thailand,8,9,9,4.0,2,48,Low,Low,33060.77
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,Thailand,3,3,3,3.0,0,59,Low,Low,129689.97
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,Thailand,19,16,21,5.2,4,65,Low,Low,110507.81
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,Thailand,16,12,15,5.0,3,77,Low,Low,11359.59
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,Thailand,2,2,2,2.0,0,19,Low,Low,84247.86
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,Thailand,12,12,13,4.3,3,56,Low,Low,130345.97
2024-05-26,May 2024,High Jewellery,Trinity Collection,Thailand,6,5,6,4.8,1,112,Low,Low,51013.26
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,Thailand,11,9,9,4.0,3,111,Low,Low,2226.9
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,Thailand,9,9,7,3.1,3,87,Medium,Low,131111.02
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,Thailand,13,12,15,5.0,3,52,Low,Low,112155.55
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,Thailand,6,4,4,4.0,1,44,Medium,Low,101663.31
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,Thailand,9,10,10,4.0,2,46,Low,Low,12216.23
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,Thailand,4,3,4,4.0,1,102,Low,Low,34052.71
2023-07-01,Jul 2023,High Jewellery,Trinity Collection,India,9,8,11,5.5,3,64,Low,Medium,3447.06
2023-07-31,Jul 2023,High Jewellery,Trinity Collection,India,5,5,5,4.0,1,49,Low,Low,22027.41
2023-08-30,Aug 2023,High Jewellery,Trinity Collection,India,12,13,10,3.1,3,115,Low,Low,122238.16
2023-09-29,Sep 2023,High Jewellery,Trinity Collection,India,8,8,8,4.0,2,35,Low,Low,24133.34
2023-10-29,Oct 2023,High Jewellery,Trinity Collection,India,14,17,17,4.0,4,113,Low,Medium,115403.73
2023-11-28,Nov 2023,High Jewellery,Trinity Collection,India,2,1,2,2.0,0,73,Low,Low,88657.44
2023-12-28,Dec 2023,High Jewellery,Trinity Collection,India,2,2,1,1.0,0,120,Medium,Low,103413.86
2024-01-27,Jan 2024,High Jewellery,Trinity Collection,India,15,16,13,3.2,3,70,Low,Low,9649.03
2024-02-26,Feb 2024,High Jewellery,Trinity Collection,India,16,17,12,2.8,3,63,Medium,Low,9137.61
2024-03-27,Mar 2024,High Jewellery,Trinity Collection,India,12,12,10,3.3,3,61,Low,Low,30949.39
2024-04-26,Apr 2024,High Jewellery,Trinity Collection,India,3,2,2,2.0,0,17,Medium,Low,2598.04
2024-05-26,May 2024,High Jewellery,Trinity Collection,India,15,13,18,5.5,4,22,Low,Low,29840.39
2024-06-25,Jun 2024,High Jewellery,Trinity Collection,India,4,4,4,4.0,1,92,Low,Low,44665.95
2024-07-25,Jul 2024,High Jewellery,Trinity Collection,India,8,7,8,4.6,3,25,Low,Low,56141.3
2024-08-24,Aug 2024,High Jewellery,Trinity Collection,India,5,5,5,4.0,1,53,Low,Low,104175.95
2024-09-23,Sep 2024,High Jewellery,Trinity Collection,India,3,3,2,2.0,0,118,Medium,Low,106858.95
2024-10-23,Oct 2024,High Jewellery,Trinity Collection,India,8,7,10,5.7,2,104,Low,Medium,30568.97
2024-11-22,Nov 2024,High Jewellery,Trinity Collection,India,3,2,3,3.0,0,31,Low,Low,33062.69
2023-07-01,Jul 2023,High Jewellery,Panthère Bracelet,China,5,5,6,4.8,2,90,Low,Low,67857.85
2023-07-31,Jul 2023,High Jewellery,Panthère Bracelet,China,9,8,9,4.5,3,54,Low,Low,83142.49
2023-08-30,Aug 2023,High Jewellery,Panthère Bracelet,China,12,13,12,3.7,3,101,Low,Low,59052.98
2023-09-29,Sep 2023,High Jewellery,Panthère Bracelet,China,2,1,2,2.0,0,114,Low,Low,111105.2
2023-10-29,Oct 2023,High Jewellery,Panthère Bracelet,China,3,2,4,4.0,0,78,Low,Medium,31849.26
2023-11-28,Nov 2023,High Jewellery,Panthère Bracelet,China,9,7,9,5.1,2,16,Low,Low,143856.92
2023-12-28,Dec 2023,High Jewellery,Panthère Bracelet,China,15,12,11,3.7,3,58,Medium,Low,20117.35
2024-01-27,Jan 2024,High Jewellery,Panthère Bracelet,China,15,18,12,2.7,3,33,Low,Low,109957.85
2024-02-26,Feb 2024,High Jewellery,Panthère Bracelet,China,5,4,5,5.0,1,79,Low,Low,97709.19
2024-03-27,Mar 2024,High Jewellery,Panthère Bracelet,China,14,15,13,3.5,4,94,Low,Low,128542.92
2024-04-26,Apr 2024,High Jewellery,Panthère Bracelet,China,4,4,3,3.0,1,114,Medium,Low,14715.97
2024-05-26,May 2024,High Jewellery,Panthère Bracelet,China,5,5,5,4.0,1,116,Low,Low,141683.3
2024-06-25,Jun 2024,High Jewellery,Panthère Bracelet,China,8,7,10,5.7,3,99,Low,Medium,129352.35
2024-07-25,Jul 2024,High Jewellery,Panthère Bracelet,China,2,1,2,2.0,0,93,Low,Low,15462.37
2024-08-24,Aug 2024,High Jewellery,Panthère Bracelet,China,10,9,13,5.8,3,67,Low,Medium,111243.94
2024-09-23,Sep 2024,High Jewellery,Panthère Bracelet,China,14,17,11,2.6,4,17,Medium,Low,123140.45
2024-10-23,Oct 2024,High Jewellery,Panthère Bracelet,China,10,10,11,4.4,3,23,Low,Low,47067.09
2024-11-22,Nov 2024,High Jewellery,Panthère Bracelet,China,3,2,3,3.0,0,61,Low,Low,92829.45
2023-07-01,Jul 2023,High Jewellery,Panthère Bracelet,Japan,9,9,6,2.7,3,84,Medium,Low,76445.1
2023-07-31,Jul 2023,High Jewellery,Panthère Bracelet,Japan,11,9,13,5.8,4,112,Low,Low,34552.12
2023-08-30,Aug 2023,High Jewellery,Panthère Bracelet,Japan,13,11,10,3.6,3,41,Medium,Low,5140.7
2023-09-29,Sep 2023,High Jewellery,Panthère Bracelet,Japan,15,16,18,4.5,4,103,Low,Low,131016.0
2023-10-29,Oct 2023,High Jewellery,Panthère Bracelet,Japan,3,3,2,2.0,0,33,Medium,Low,23354.39
2023-11-28,Nov 2023,High Jewellery,Panthère Bracelet,Japan,2,2,1,1.0,0,42,Medium,Low,87087.19
2023-12-28,Dec 2023,High Jewellery,Panthère Bracelet,Japan,14,15,18,4.8,3,94,Low,Medium,115033.94
2024-01-27,Jan 2024,High Jewellery,Panthère Bracelet,Japan,15,15,17,4.5,3,91,Low,Low,24864.1
2024-02-26,Feb 2024,High Jewellery,Panthère Bracelet,Japan,14,12,10,3.3,3,84,Medium,Low,107569.98
2024-03-27,Mar 2024,High Jewellery,Panthère Bracelet,Japan,4,3,3,3.0,1,101,Medium,Low,40142.42
2024-04-26,Apr 2024,High Jewellery,Panthère Bracelet,Japan,10,8,12,6.0,3,33,Low,Low,123279.56
2024-05-26,May 2024,High Jewellery,Panthère Bracelet,Japan,8,9,8,3.6,2,29,Low,Low,88759.68
2024-06-25,Jun 2024,High Jewellery,Panthère Bracelet,Japan,11,12,11,3.7,3,22,Low,Low,32460.2
2024-07-25,Jul 2024,High Jewellery,Panthère Bracelet,Japan,11,13,9,2.8,4,29,Low,Low,149952.17
2024-08-24,Aug 2024,High Jewellery,Panthère Bracelet,Japan,3,3,3,3.0,0,89,Low,Low,62416.32
2024-09-23,Sep 2024,High Jewellery,Panthère Bracelet,Japan,5,6,6,4.0,1,49,Low,Low,86361.74
2024-10-23,Oct 2024,High Jewellery,Panthère Bracelet,Japan,7,8,5,2.5,2,26,Medium,Low,124128.58
2024-11-22,Nov 2024,High Jewellery,Panthère Bracelet,Japan,11,9,11,4.9,3,97,Low,Low,40659.74
2023-07-01,Jul 2023,High Jewellery,Panthère Bracelet,South Korea,2,2,2,2.0,0,66,Low,Low,121623.21
2023-07-31,Jul 2023,High Jewellery,Panthère Bracelet,South Korea,5,6,4,2.7,1,97,Low,Low,98276.51
2023-08-30,Aug 2023,High Jewellery,Panthère Bracelet,South Korea,5,4,3,3.0,1,108,Medium,Low,49040.07
2023-09-29,Sep 2023,High Jewellery,Panthère Bracelet,South Korea,13,11,12,4.4,3,34,Low,Low,27519.06
2023-10-29,Oct 2023,High Jewellery,Panthère Bracelet,South Korea,15,12,14,4.7,4,60,Low,Low,139770.71
2023-11-28,Nov 2023,High Jewellery,Panthère Bracelet,South Korea,14,11,14,5.1,4,54,Low,Low,74720.68
2023-12-28,Dec 2023,High Jewellery,Panthère Bracelet,South Korea,3,3,2,2.0,0,69,Medium,Low,62465.51
2024-01-27,Jan 2024,High Jewellery,Panthère Bracelet,South Korea,14,12,18,6.0,3,21,Low,Medium,119157.07
2024-02-26,Feb 2024,High Jewellery,Panthère Bracelet,South Korea,4,4,4,4.0,0,100,Low,Low,129515.49
2024-03-27,Mar 2024,High Jewellery,Panthère Bracelet,South Korea,12,12,15,5.0,3,119,Low,Medium,141773.09
2024-04-26,Apr 2024,High Jewellery,Panthère Bracelet,South Korea,3,2,3,3.0,0,45,Low,Low,133664.51
2024-05-26,May 2024,High Jewellery,Panthère Bracelet,South Korea,12,12,9,3.0,3,114,Medium,Low,41696.44
2024-06-25,Jun 2024,High Jewellery,Panthère Bracelet,South Korea,1,0,0,0.0,0,24,High,Low,60767.71
2024-07-25,Jul 2024,High Jewellery,Panthère Bracelet,South Korea,12,12,11,3.7,4,88,Low,Low,28240.82
2024-08-24,Aug 2024,High Jewellery,Panthère Bracelet,South Korea,10,11,10,3.6,3,101,Low,Low,118868.04
2024-09-23,Sep 2024,High Jewellery,Panthère Bracelet,South Korea,3,2,3,3.0,0,70,Low,Low,112454.99
2024-10-23,Oct 2024,High Jewellery,Panthère Bracelet,South Korea,7,6,5,3.3,2,94,Medium,Low,83880.55
2024-11-22,Nov 2024,High Jewellery,Panthère Bracelet,South Korea,4,3,3,3.0,1,52,Medium,Low,126029.79
2023-07-01,Jul 2023,High Jewellery,Panthère Bracelet,Australia,3,3,2,2.0,1,111,Medium,Low,45391.26
2023-07-31,Jul 2023,High Jewellery,Panthère Bracelet,Australia,6,5,5,4.0,2,66,Low,Low,34328.14
2023-08-30,Aug 2023,High Jewellery,Panthère Bracelet,Australia,11,11,11,4.0,3,106,Low,Low,109962.29
2023-09-29,Sep 2023,High Jewellery,Panthère Bracelet,Australia,5,4,4,4.0,1,60,Low,Low,14759.47
2023-10-29,Oct 2023,High Jewellery,Panthère Bracelet,Australia,3,2,3,3.0,0,63,Low,Low,11974.46
2023-11-28,Nov 2023,High Jewellery,Panthère Bracelet,Australia,2,2,1,1.0,0,66,Medium,Low,47654.92
2023-12-28,Dec 2023,High Jewellery,Panthère Bracelet,Australia,16,19,17,3.6,3,30,Low,Low,80343.24
2024-01-27,Jan 2024,High Jewellery,Panthère Bracelet,Australia,19,19,20,4.2,4,91,Low,Low,22243.51
2024-02-26,Feb 2024,High Jewellery,Panthère Bracelet,Australia,19,17,19,4.5,4,53,Low,Low,75521.91
2024-03-27,Mar 2024,High Jewellery,Panthère Bracelet,Australia,9,10,10,4.0,2,65,Low,Low,24178.53
2024-04-26,Apr 2024,High Jewellery,Panthère Bracelet,Australia,13,15,17,4.5,3,88,Low,Medium,102038.77
2024-05-26,May 2024,High Jewellery,Panthère Bracelet,Australia,6,4,6,6.0,1,22,Low,Low,66673.81
2024-06-25,Jun 2024,High Jewellery,Panthère Bracelet,Australia,11,10,11,4.4,3,26,Low,Low,105087.01
2024-07-25,Jul 2024,High Jewellery,Panthère Bracelet,Australia,11,12,11,3.7,4,46,Low,Low,109406.93
2024-08-24,Aug 2024,High Jewellery,Panthère Bracelet,Australia,14,11,17,6.2,4,60,Low,Medium,104534.76
2024-09-23,Sep 2024,High Jewellery,Panthère Bracelet,Australia,3,2,2,2.0,0,102,Medium,Low,42821.92
2024-10-23,Oct 2024,High Jewellery,Panthère Bracelet,Australia,12,11,9,3.3,3,72,Medium,Low,116299.29
2024-11-22,Nov 2024,High Jewellery,Panthère Bracelet,Australia,3,3,2,2.0,0,80,Medium,Low,103781.58
2023-07-01,Jul 2023,High Jewellery,Panthère Bracelet,Singapore,1,1,1,1.0,0,76,Low,Low,95225.26
2023-07-31,Jul 2023,High Jewellery,Panthère Bracelet,Singapore,11,12,10,3.3,4,58,Low,Low,69873.44
2023-08-30,Aug 2023,High Jewellery,Panthère Bracelet,Singapore,3,2,3,3.0,0,116,Low,Low,94770.63
2023-09-29,Sep 2023,High Jewellery,Panthère Bracelet,Singapore,12,9,12,5.3,3,111,Low,Low,100873.44
2023-10-29,Oct 2023,High Jewellery,Panthère Bracelet,Singapore,12,10,15,6.0,3,34,Low,Medium,89511.11
2023-11-28,Nov 2023,High Jewellery,Panthère Bracelet,Singapore,15,13,18,5.5,4,29,Low,Low,104104.58
2023-12-28,Dec 2023,High Jewellery,Panthère Bracelet,Singapore,2,1,1,1.0,0,14,Medium,Low,8544.76
2024-01-27,Jan 2024,High Jewellery,Panthère Bracelet,Singapore,12,14,15,4.3,2,98,Low,Medium,85736.24
2024-02-26,Feb 2024,High Jewellery,Panthère Bracelet,Singapore,21,25,21,3.4,4,108,Low,Low,1560.1
2024-03-27,Mar 2024,High Jewellery,Panthère Bracelet,Singapore,15,12,17,5.7,4,116,Low,Low,90271.02
2024-04-26,Apr 2024,High Jewellery,Panthère Bracelet,Singapore,11,12,11,3.7,3,91,Low,Low,85198.76
2024-05-26,May 2024,High Jewellery,Panthère Bracelet,Singapore,6,6,7,4.7,1,28,Low,Low,78175.96
2024-06-25,Jun 2024,High Jewellery,Panthère Bracelet,Singapore,4,4,4,4.0,1,62,Low,Low,21262.64
2024-07-25,Jul 2024,High Jewellery,Panthère Bracelet,Singapore,9,8,9,4.5,3,74,Low,Low,132991.58
2024-08-24,Aug 2024,High Jewellery,Panthère Bracelet,Singapore,9,9,10,4.4,2,101,Low,Low,86225.71
2024-09-23,Sep 2024,High Jewellery,Panthère Bracelet,Singapore,6,5,5,4.0,1,83,Low,Low,95428.79
2024-10-23,Oct 2024,High Jewellery,Panthère Bracelet,Singapore,9,7,7,4.0,2,55,Medium,Low,125114.32
2024-11-22,Nov 2024,High Jewellery,Panthère Bracelet,Singapore,14,11,14,5.1,4,74,Low,Low,51669.97
