campaign,market,media_type,budget_usd,actual_usd,variance_usd,variance_pct,impressions,conversions,revenue_attributed,roi,cpm,status,quarter
CNY Campaign 2024,Singapore,Influencer,1120999.62,1096143.68,-24855.94,-2.2,7609285,153447,906390775.24,82589.0,144.05,Planned,Q3 2024
CNY Campaign 2024,Singapore,Digital,1213480.02,1378843.97,165363.95,13.6,4230723,137542,1364887681.75,98887.8,325.91,Active,Q3 2024
VIP Client Events,Hong Kong,Digital,2297585.32,2436925.73,139340.41,6.1,2513806,48607,485668909.24,19829.6,969.42,Planned,Q1 2024
VIP Client Events,Hong Kong,CRM,2331002.35,2460518.53,129516.18,5.6,7665980,324749,3948571340.41,160377.2,320.97,Planned,Q3 2024
VIP Client Events,Hong Kong,Print,286263.17,296443.73,10180.56,3.6,5496688,238340,2636609658.34,889313.2,53.93,Planned,Q2 2024
VIP Client Events,Hong Kong,Influencer,2373225.03,2669332.23,296107.2,12.5,5675482,134717,868583619.49,32439.4,470.33,Planned,Q4 2023
VIP Client Events,Hong Kong,OOH,1377896.43,1493794.5,115898.07,8.4,5137206,134272,682600902.79,45595.8,290.78,Completed,Q1 2024
Tank Must Relaunch,Hong Kong,OOH,198152.84,180581.66,-17571.18,-8.9,466904,18509,255521412.59,141399.1,386.76,Active,Q1 2024
Tank Must Relaunch,Hong Kong,Events,286768.35,321743.31,34974.96,12.2,379981,12657,189440397.36,58779.4,846.74,Active,Q1 2024
Tank Must Relaunch,Hong Kong,Print,2496210.74,2269510.08,-226700.65,-9.1,2879552,25404,223364558.51,9742.0,788.15,Planned,Q3 2024
Influencer Partnership Q2,Hong Kong,Events,223105.31,185648.24,-37457.07,-16.8,2318898,82572,1170441567.96,630362.0,80.06,Planned,Q2 2024
Influencer Partnership Q2,Hong Kong,Digital,1900159.66,2007015.36,106855.71,5.6,500781,7133,37849251.43,1785.8,4007.77,Planned,Q4 2023
Influencer Partnership Q2,Hong Kong,OOH,1379727.36,1351266.86,-28460.5,-2.1,1253576,39574,350733978.68,25855.9,1077.93,Active,Q4 2023
Influencer Partnership Q2,Hong Kong,CRM,973037.39,842079.89,-130957.5,-13.5,5390846,228364,818794245.35,97134.7,156.21,Active,Q3 2024
Influencer Partnership Q2,Hong Kong,Print,1039865.16,881075.77,-158789.39,-15.3,2405052,78730,1166576454.24,132303.6,366.34,Completed,Q3 2024
Holiday Season 2023,Hong Kong,Influencer,1725690.86,1625027.64,-100663.21,-5.8,6954719,262453,2358039610.87,145007.7,233.66,Planned,Q3 2024
Holiday Season 2023,Hong Kong,PR,650311.97,775109.32,124797.35,19.2,1545288,60708,834976098.39,107623.7,501.6,Completed,Q3 2024
Holiday Season 2023,Hong Kong,OOH,1463595.62,1225055.91,-238539.71,-16.3,450412,19721,24048315.09,1863.0,2719.86,Completed,Q3 2024
Clash Campaign APAC,Hong Kong,Influencer,128430.41,126090.57,-2339.84,-1.8,2159973,19582,83415718.36,66055.4,58.38,Active,Q2 2024
Clash Campaign APAC,Hong Kong,Events,583436.44,526156.31,-57280.13,-9.8,6905588,199391,1040973248.04,197744.9,76.19,Active,Q4 2023
Sustainability Initiative,Hong Kong,CRM,1452244.12,1471034.58,18790.46,1.3,6982136,127879,1636797447.29,111168.5,210.69,Active,Q4 2023
Sustainability Initiative,Hong Kong,PR,1533580.28,1826223.34,292643.06,19.1,6883260,229092,3266261815.48,178753.4,265.31,Planned,Q2 2024
High Jewellery Launch,Thailand,Digital,2238784.55,2644379.61,405595.07,18.1,6480945,102604,110910527.92,4094.2,408.02,Active,Q4 2023
High Jewellery Launch,Thailand,Influencer,628062.3,571514.66,-56547.64,-9.0,2347297,73345,748603968.01,130886.0,243.48,Planned,Q3 2024
High Jewellery Launch,Thailand,Print,1487615.0,1705681.26,218066.27,14.7,5270374,214054,2296191192.22,134520.2,323.64,Planned,Q3 2024
Love Day Collection,Thailand,PR,1010813.96,1023519.26,12705.3,1.3,2368207,38932,59624821.82,5725.5,432.19,Active,Q3 2024
Love Day Collection,Thailand,Events,2318740.97,2394135.65,75394.68,3.3,5831647,117061,937152028.11,39043.6,410.54,Completed,Q2 2024
CNY Campaign 2024,Thailand,PR,1706430.2,2062867.62,356437.42,20.9,1081615,9549,85636906.11,4051.4,1907.21,Planned,Q2 2024
CNY Campaign 2024,Thailand,Print,2142961.1,2319311.14,176350.04,8.2,5125535,182777,1424872938.71,61335.2,452.5,Planned,Q4 2023
CNY Campaign 2024,Thailand,Events,52550.76,61225.18,8674.42,16.5,4155870,120624,98972963.14,161554.0,14.73,Completed,Q4 2023
CNY Campaign 2024,Thailand,CRM,1464681.38,1449386.27,-15295.11,-1.0,1399107,46742,240552772.76,16496.9,1035.94,Completed,Q4 2023
CNY Campaign 2024,Thailand,Digital,1289141.24,1494221.58,205080.34,15.9,1693780,1699,24745624.83,1556.1,882.18,Completed,Q4 2023
Tank Must Relaunch,Thailand,Events,1087902.6,1306123.1,218220.49,20.1,7041858,181803,2050115116.44,156861.9,185.48,Completed,Q4 2023
Tank Must Relaunch,Thailand,Print,1379855.78,1535825.75,155969.97,11.3,7030360,101077,1015420205.74,66015.6,218.46,Active,Q3 2024
Influencer Partnership Q2,Thailand,Influencer,563324.72,592912.25,29587.53,5.3,1449765,25567,332306612.29,55946.5,408.97,Active,Q4 2023
Influencer Partnership Q2,Thailand,OOH,112802.76,123408.47,10605.71,9.4,3996315,68537,998962514.74,809376.5,30.88,Planned,Q4 2023
Influencer Partnership Q2,Thailand,Digital,1351678.64,1533414.68,181736.04,13.4,2457084,37883,409646436.04,26614.7,624.08,Active,Q3 2024
VIP Client Events,Thailand,Digital,688619.19,827256.72,138637.53,20.1,2464824,24710,339427711.68,40930.5,335.63,Completed,Q2 2024
VIP Client Events,Thailand,PR,365966.49,325461.96,-40504.53,-11.1,3912910,67725,302955305.18,92984.7,83.18,Completed,Q2 2024
VIP Client Events,Thailand,OOH,1082829.14,1020418.73,-62410.4,-5.8,2050939,64517,393748525.3,38487.0,497.54,Completed,Q3 2024
Santos Digital Push,Thailand,Print,290209.65,327367.53,37157.88,12.8,1314095,39446,269024250.33,82078.0,249.12,Completed,Q2 2024
Santos Digital Push,Thailand,Influencer,2029477.45,1869746.83,-159730.62,-7.9,3727507,74001,270871330.86,14387.1,501.61,Planned,Q2 2024
Santos Digital Push,Thailand,Events,2023387.03,2441646.85,418259.82,20.7,548186,12156,21854012.66,795.1,4454.05,Completed,Q2 2024
Santos Digital Push,Thailand,OOH,674915.89,695330.18,20414.3,3.0,7142204,232165,2417548555.49,347583.5,97.36,Active,Q3 2024
Sustainability Initiative,Thailand,Influencer,1655344.43,1515824.58,-139519.85,-8.4,5108357,193450,1837590619.79,121127.1,296.73,Planned,Q2 2024
Sustainability Initiative,Thailand,Events,1662191.98,1866198.39,204006.41,12.3,6667925,194334,2241277660.54,119998.6,279.88,Planned,Q2 2024
VIP Client Events,India,PR,1473089.92,1519828.59,46738.67,3.2,2948246,69460,1002044292.14,65831.4,515.5,Completed,Q4 2023
VIP Client Events,India,CRM,2418572.36,2082387.19,-336185.18,-13.9,3228386,52745,598521032.0,28642.1,645.02,Completed,Q3 2024
VIP Client Events,India,OOH,141005.4,161212.53,20207.14,14.3,5376597,148078,1613151585.19,1000536.6,29.98,Planned,Q2 2024
VIP Client Events,India,Events,1225809.87,1483189.89,257380.02,21.0,2003239,66590,393594158.27,26437.0,740.4,Completed,Q1 2024
VIP Client Events,India,Print,973406.39,999265.46,25859.07,2.7,7797569,321643,2101945969.44,210249.1,128.15,Planned,Q2 2024
Santos Digital Push,India,Print,2276318.4,2576779.72,300461.31,13.2,6129217,100753,854868323.9,33075.8,420.41,Active,Q2 2024
Santos Digital Push,India,OOH,2494105.68,2199063.84,-295041.84,-11.8,5608846,161376,553264451.22,25059.1,392.07,Completed,Q1 2024
Santos Digital Push,India,PR,1151332.29,1146895.89,-4436.4,-0.4,6265981,276711,3390493825.99,295523.5,183.04,Planned,Q4 2023
Tank Must Relaunch,India,Influencer,1355297.31,1147996.67,-207300.64,-15.3,5157016,15460,155516287.57,13446.8,222.61,Active,Q3 2024
Tank Must Relaunch,India,CRM,2273079.6,2319793.61,46714.0,2.1,6654543,174768,1550733147.18,66747.9,348.6,Completed,Q1 2024
Tank Must Relaunch,India,OOH,935799.61,1026441.4,90641.79,9.7,2404094,6942,47395952.25,4517.5,426.96,Active,Q2 2024
Tank Must Relaunch,India,Events,1000388.69,842460.23,-157928.46,-15.8,2024548,23547,112345013.75,13235.3,416.12,Planned,Q4 2023
Tank Must Relaunch,India,Digital,1270339.5,1239613.61,-30725.89,-2.4,961645,23308,109248343.57,8713.1,1289.06,Planned,Q1 2024
Sustainability Initiative,India,CRM,1471785.63,1219485.25,-252300.38,-17.1,2048318,87164,1272486832.73,104246.2,595.36,Completed,Q3 2024
Sustainability Initiative,India,Events,1194411.11,1384789.71,190378.6,15.9,5078285,128136,968241064.19,69819.7,272.69,Completed,Q4 2023
Sustainability Initiative,India,Digital,1668274.68,1717253.09,48978.42,2.9,339578,507,1412589.41,-17.7,5057.02,Planned,Q3 2024
Sustainability Initiative,India,OOH,2116552.23,2165759.58,49207.35,2.3,6023105,190093,1568328918.68,72314.7,359.58,Completed,Q1 2024
Sustainability Initiative,India,PR,1468408.9,1680913.87,212504.97,14.5,7708531,181013,1259559950.28,74833.0,218.06,Planned,Q2 2024
Influencer Partnership Q2,India,Influencer,208750.25,193493.39,-15256.86,-7.3,290781,4262,49134749.35,25293.5,665.43,Planned,Q2 2024
Influencer Partnership Q2,India,Print,894614.46,950924.99,56310.53,6.3,3193273,41581,527084355.89,55328.6,297.79,Active,Q2 2024
Influencer Partnership Q2,India,Digital,2478926.02,2866505.93,387579.91,15.6,5239378,135567,301594882.81,10421.3,547.11,Completed,Q4 2023
Influencer Partnership Q2,India,CRM,1273698.69,1512160.52,238461.83,18.7,5126791,148596,1082172535.63,71464.7,294.95,Completed,Q2 2024
